checkNumber,paymentDate,amount,customerNumber,store_id,create_timestamp,update_timestamp
ED39322,2004-04-26,28211.70,145,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ED520529,2004-06-21,4632.31,209,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ED743615,2004-09-19,12538.01,167,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
EQ12267,2005-05-17,17928.09,250,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ER54537,2004-09-28,31310.09,415,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ES347491,2004-06-24,37281.36,323,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
EU280955,2004-11-06,61234.67,259,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
FA465482,2003-10-18,24101.81,128,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
FA728475,2003-10-06,32723.04,311,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
FH668230,2004-03-24,33820.62,128,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
FP549817,2004-03-18,40978.53,146,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
FU793410,2004-01-16,49614.72,146,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
GB361972,2003-12-07,27988.47,259,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
GH197075,2004-07-25,35034.57,412,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
GK294076,2004-10-26,3474.66,484,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
GN228846,2003-12-03,85024.46,167,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HD284647,2004-12-30,26311.63,250,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HG738664,2003-07-05,2880.00,323,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HJ217687,2004-01-28,49165.16,406,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HJ32686,2004-01-30,59830.55,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HN114306,2003-07-18,23419.47,250,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HR182688,2004-12-01,20564.86,145,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
HR224331,2005-06-03,12432.32,242,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ID10962,2004-12-31,116208.40,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
IJ399820,2004-09-19,33924.24,249,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
IN446258,2005-03-25,65071.26,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
IP383901,2004-11-18,7466.32,128,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
IR846303,2004-12-12,36005.71,144,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
JE105477,2005-03-18,120166.58,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
JH546765,2003-11-29,47513.19,484,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
JJ246391,2003-02-20,53959.21,145,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
JN355280,2003-10-26,49539.37,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
JN722010,2003-02-25,40206.20,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
KI744716,2003-07-21,14232.70,242,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
KM172879,2003-12-26,105743.00,148,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
KT52578,2003-12-09,63843.55,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
LA685678,2003-04-09,7674.94,144,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
LJ160635,2003-12-10,39712.10,146,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
LL427009,2004-02-17,7612.06,473,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
LQ244073,2004-08-09,45352.47,314,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
MC46946,2004-07-09,35420.74,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
MD809704,2004-03-03,16901.38,314,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
ME497970,2005-03-27,3516.04,148,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
MF629602,2004-08-16,20009.53,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
MQ413968,2003-10-31,36164.46,227,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NA197101,2004-06-17,25080.96,406,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NA377824,2004-02-06,22162.61,458,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NB291497,2004-05-15,36442.34,357,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NE404084,2004-09-04,48298.99,249,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NQ966143,2004-04-25,16212.59,311,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NR157385,2004-09-05,32260.16,299,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NU21326,2004-11-02,53745.34,227,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
NU627706,2004-05-17,26155.91,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
OB648482,2005-01-29,1834.56,350,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
OO606861,2003-06-13,57131.92,458,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
OO846801,2004-06-15,37258.94,201,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
PC688499,2003-10-27,17746.26,473,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
PH29054,2004-11-27,42813.83,382,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
PH785937,2004-05-04,36069.26,209,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
PJ434867,2004-04-14,31670.37,412,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
PQ803830,2004-12-24,39440.59,323,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
