orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,store_id,create_timestamp,update_timestamp
10255,2004-06-04,2004-06-12,2004-06-09,Shipped,NULL,209,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10256,2004-06-08,2004-06-16,2004-06-10,Shipped,NULL,145,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10260,2004-06-16,2004-06-22,NULL,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10262,2004-06-24,2004-07-01,NULL,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10268,2004-07-12,2004-07-18,2004-07-14,Shipped,NULL,412,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10269,2004-07-16,2004-07-22,2004-07-18,Shipped,NULL,382,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10273,2004-07-21,2004-07-28,2004-07-22,Shipped,NULL,314,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10277,2004-08-04,2004-08-12,2004-08-05,Shipped,NULL,148,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10279,2004-08-09,2004-08-19,2004-08-15,Shipped,Cautious optimism. We have happy customers here  if we can keep them well stocked.  I need all the information I can get on the planned shipments of Porches,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10280,2004-08-17,2004-08-27,2004-08-19,Shipped,NULL,249,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10284,2004-08-21,2004-08-29,2004-08-26,Shipped,Custom shipping instructions sent to warehouse,299,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10289,2004-09-03,2004-09-13,2004-09-04,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10293,2004-09-09,2004-09-18,2004-09-14,Shipped,NULL,249,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10296,2004-09-15,2004-09-22,2004-09-16,Shipped,NULL,415,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10300,2003-10-04,2003-10-13,2003-10-09,Shipped,NULL,128,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10301,2003-10-05,2003-10-15,2003-10-08,Shipped,NULL,299,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10302,2003-10-06,2003-10-16,2003-10-07,Shipped,NULL,201,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10303,2004-10-06,2004-10-14,2004-10-09,Shipped,Customer inquired about remote controlled models and gold models.,484,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10310,2004-10-16,2004-10-24,2004-10-18,Shipped,NULL,259,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10311,2004-10-16,2004-10-23,2004-10-20,Shipped,Difficult to negotiate with customer. We need more marketing materials,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10314,2004-10-22,2004-11-01,2004-10-23,Shipped,NULL,227,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10320,2004-11-03,2004-11-13,2004-11-07,Shipped,NULL,144,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10323,2004-11-05,2004-11-12,2004-11-09,Shipped,NULL,128,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10326,2004-11-09,2004-11-16,2004-11-10,Shipped,NULL,144,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10327,2004-11-10,2004-11-19,2004-11-13,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10334,2004-11-19,2004-11-28,NULL,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10341,2004-11-24,2004-12-01,2004-11-29,Shipped,NULL,382,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10344,2004-11-25,2004-12-02,2004-11-29,Shipped,NULL,350,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10348,2004-11-01,2004-11-08,2004-11-05,Shipped,NULL,458,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10350,2004-12-02,2004-12-08,2004-12-05,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10354,2004-12-04,2004-12-10,2004-12-05,Shipped,NULL,323,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10355,2004-12-07,2004-12-14,2004-12-13,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10356,2004-12-09,2004-12-15,2004-12-12,Shipped,NULL,250,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10358,2004-12-10,2004-12-16,2004-12-16,Shipped,Customer requested that DHL is used for this shipping,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10364,2005-01-06,2005-01-17,2005-01-09,Shipped,NULL,350,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10373,2005-01-31,2005-02-08,2005-02-06,Shipped,NULL,311,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10378,2005-02-10,2005-02-18,2005-02-11,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10379,2005-02-10,2005-02-18,2005-02-11,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10380,2005-02-16,2005-02-24,2005-02-18,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10383,2005-02-22,2005-03-02,2005-02-25,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10386,2005-03-01,2005-03-09,2005-03-06,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10387,2005-03-02,2005-03-09,2005-03-06,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10393,2005-03-11,2005-03-22,2005-03-14,Shipped,They want to reevaluate their terms agreement with Finance.,323,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10394,2005-03-15,2005-03-25,2005-03-19,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10395,2005-03-17,2005-03-24,2005-03-23,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10397,2005-03-28,2005-04-09,2005-04-01,Shipped,NULL,242,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10402,2005-04-07,2005-04-14,2005-04-12,Shipped,NULL,406,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10403,2005-04-08,2005-04-18,2005-04-11,Shipped,NULL,201,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10404,2005-04-08,2005-04-14,2005-04-11,Shipped,NULL,323,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10405,2005-04-14,2005-04-24,2005-04-20,Shipped,NULL,209,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10406,2005-04-15,2005-04-25,2005-04-21,Disputed,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,145,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10410,2005-04-29,2005-05-10,2005-04-30,Shipped,NULL,357,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10412,2005-05-03,2005-05-13,2005-05-05,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10417,2005-05-13,2005-05-19,2005-05-19,Disputed,Customer doesn't like the colors and precision of the models.,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10418,2005-05-16,2005-05-24,2005-05-20,Shipped,NULL,412,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10419,2005-05-17,2005-05-28,2005-05-19,Shipped,NULL,382,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10423,2005-05-30,2005-06-05,NULL,In Process,NULL,314,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10424,2005-05-31,2005-06-08,NULL,In Process,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
