productCode,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,productLine,store_id,create_timestamp,update_timestamp
S24_3432,2002 Chevy Corvette,1:24,Gearbox Collectibles,The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels  poseable streering  opening doors and trunk.,9446,62.11,107.08,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_2206,1982 Ducati 996 R,1:32,Gearbox Collectibles,Features rotating wheels   working kick stand. Comes with stand.,9241,24.14,40.23,Motorcycles,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_4278,1900s Vintage Tri-Plane,1:24,Unimax Art Galleries,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,2756,36.23,72.45,Planes,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2300,1962 Volkswagen Microbus,1:24,Autoart Studio Design,This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system  opening front doors and tailgate  and famous two-tone factory baked enamel finish  are all topped of by the sliding  real fabric  sunroof.,2327,61.34,127.79,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3782,1957 Vespa GS150,1:18,Studio M Art Models,Features rotating wheels  working kick stand. Comes with stand.,7689,32.95,62.17,Motorcycles,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_1268,1980s GM Manhattan Express,1:32,Motor City Art Classics,This 1980s era new look Manhattan express is still active  running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.,5099,53.93,96.31,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S12_3380,1968 Dodge Charger,1:12,Welly Diecast Productions,1:12 scale model of a 1968 Dodge Charger. Hood  doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black,9123,75.16,117.44,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2972,1982 Lamborghini Diablo,1:24,Second Gear Diecast,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,7723,16.24,37.76,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_4027,1970 Triumph Spitfire,1:18,Min Lin Diecast,Features include opening and closing doors. Color: White.,5545,91.92,143.62,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S12_1099,1968 Ford Mustang,1:12,Autoart Studio Design,Hood  doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.,68,95.34,194.57,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S10_1949,1952 Alpine Renault 1300,1:10,Classic Metal Creations,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,7305,98.58,214.30,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_4600,1940s Ford truck,1:18,Motor City Art Classics,This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color  and features rotating wheels.,3128,84.76,121.08,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_2238,1998 Chrysler Plymouth Prowler,1:18,Gearbox Collectibles,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,4724,101.51,163.73,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S10_4757,1972 Alfa Romeo GTA,1:10,Motor City Art Classics,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,3252,85.68,136.00,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S12_1108,2001 Ferrari Enzo,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,3619,95.59,207.80,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_3969,1936 Mercedes Benz 500k Roadster,1:24,Red Start Diecast,This model features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system and rubber wheels. Color black.,2081,21.75,41.03,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,1:32,Red Start Diecast,This model features  opening doors  detailed engine  working steering  tinted windows  detailed interior  die-struck logos  removable stakes operating outriggers  detachable second trailer  functioning 360-degree self loader  precision molded resin trailer and trim  baked enamel finish on cab,814,33.61,64.64,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_4620,1961 Chevrolet Impala,1:18,Classic Metal Creations,This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors  hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift  two-tone interior; working steering system; all topped of with a factory baked-enamel finish.,7869,32.33,80.84,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_4289,1928 Ford Phaeton Deluxe,1:32,Highway 66 Mini Classics,This model features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system,136,33.02,68.79,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3029,1999 Yamaha Speed Boat,1:18,Min Lin Diecast,Exact replica. Wood and Metal. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with three masts  all square-rigged.,4259,51.61,86.02,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_1628,1966 Shelby Cobra 427 S/C,1:24,Carousel DieCast Legends,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.,8197,29.18,50.31,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3259,Collectable Wooden Train,1:18,Carousel DieCast Legends,Hand crafted wooden toy train set is in about 1:18 scale  25 inches in total length including 2 additional carts  of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.,6450,67.56,100.84,Trains,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3482,1976 Ford Gran Torino,1:18,Gearbox Collectibles,Highly detailed 1976 Ford 'Gran Torino' Starsky and Hutch diecast model. Very well constructed and painted in red and white patterns.,9127,73.49,146.99,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S50_1341,1930 Buick Marquette Phaeton,1:50,Studio M Art Models,Features opening trunk   working steering system,7062,27.06,43.64,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_1097,1940 Ford Pickup Truck,1:18,Studio M Art Models,This model features soft rubber tires  working steering  rubber mud guards  authentic Ford logos  detailed undercarriage  opening doors and hood   removable split rear gate  full size spare mounted in bed  detailed interior with opening glove box,2613,58.33,116.67,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S50_4713,2002 Yamaha YZR M1,1:50,Autoart Studio Design,Features rotating wheels   working kick stand. Comes with stand.,600,34.17,81.36,Motorcycles,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2887,1952 Citroen-15CV,1:24,Exoto Designs,Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV  with its independent spring suspension  working steering system  opening doors and hood  detailed engine and instrument panel  all topped of with a factory fresh baked enamel finish.,1452,72.82,117.44,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_1691,American Airlines: B767-300,1:700,Min Lin Diecast,Exact replia with official logos and insignias and retractable wheels,5841,51.15,91.34,Planes,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_2824,1982 Camaro Z28,1:18,Carousel DieCast Legends,Features include opening and closing doors. Color: White. \nMeasures approximately 9 1/2 inches Long.,6934,46.53,101.15,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_3207,1950's Chicago Surface Lines Streetcar,1:32,Gearbox Collectibles,This streetcar is a joy to see. It has 80 separate windows  electric wire guides  detailed interiors with seats  poles and drivers controls  rolling and turning wheel assemblies  plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).,8601,26.72,62.14,Trains,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_1938,The Mayflower,1:700,Studio M Art Models,Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide\nAll wood with canvas sail. Extras include long boats  rigging  ladders  railing  anchors  side cannons  hand painted  etc.,737,43.30,86.61,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S72_3212,Pont Yacht,1:72,Unimax Art Galleries,Measures 38 inches Long x 33 3/4 inches High. Includes a stand. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with 2 masts  all square-rigged,414,33.30,54.60,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_4002,American Airlines: MD-11S,1:700,Second Gear Diecast,Polished finish. Exact replia with official logos and insignias and retractable wheels,8820,36.27,74.03,Planes,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3278,1969 Dodge Super Bee,1:18,Min Lin Diecast,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,1917,49.05,80.41,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_2610,The USS Constitution Ship,1:700,Red Start Diecast,All wood with canvas sails. Measures 31 1/2 inches Length x 22 3/8 inches High x 8 1/4 inches Width. Extras include 4 boats on deck  sea sprite on bow  anchors  copper railing  pilot houses  etc.,7083,33.97,72.28,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_3371,1971 Alpine Renault 1600s,1:24,Welly Diecast Productions,This 1971 Alpine Renault 1600s replica Features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,7995,38.58,61.23,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_3816,1940 Ford Delivery Sedan,1:24,Carousel DieCast Legends,Chrome Trim  Chrome Grille  Opening Hood  Opening Doors  Opening Trunk  Detailed Engine  Working Steering System. Color black.,6621,48.64,83.86,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S32_2509,1954 Greyhound Scenicruiser,1:32,Classic Metal Creations,Model features bi-level seating  50 windows  skylights & glare resistant glass  working steering system  original logos,2874,25.98,54.11,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_1984,1995 Honda Civic,1:18,Min Lin Diecast,This model features  opening hood  opening doors  detailed engine  rear spoiler  opening trunk  working steering  tinted windows  baked enamel finish. Color yellow.,9772,93.89,142.25,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_4933,1957 Ford Thunderbird,1:18,Studio M Art Models,This 1:18 scale precision die-cast replica  with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish  is a 100% accurate rendition of this American classic.,3209,34.21,71.27,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2841,1900s Vintage Bi-Plane,1:24,Autoart Studio Design,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,5942,34.25,68.51,Planes,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_1749,1917 Grand Touring Sedan,1:18,Welly Diecast Productions,This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening  detailed engine and instrument panel  chrome-look trim  and tufted upholstery  all topped off with a factory baked-enamel finish.,2724,86.70,170.00,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_4048,1992 Porsche Cayenne Turbo Silver,1:24,Exoto Designs,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,6582,69.78,118.28,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_1444,1970 Dodge Coronet,1:24,Highway 66 Mini Classics,1:24 scale die-cast about 18 inches long doors open  hood opens and rubber wheels,4074,32.37,57.80,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2011,18th century schooner,1:24,Carousel DieCast Legends,All wood with canvas sails. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with 4 masts  all square-rigged.,1898,82.34,122.89,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2766,1949 Jaguar XK 120,1:24,Classic Metal Creations,Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,2350,47.25,90.87,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_1662,1980s Black Hawk Helicopter,1:18,Red Start Diecast,1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades  propeller blades and rubber wheels.,5330,77.27,157.69,Planes,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S50_1392,Diamond T620 Semi-Skirted Tanker,1:50,Highway 66 Mini Classics,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,1016,68.29,115.75,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
