productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,store_id,create_timestamp,update_timestamp
S18_2625,1936 Harley Davidson El Knucklehead,1:18,Welly Diec,Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.,4357,24.23,60.57,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_4473,1957 Chevy Pickup,1:12,Exoto Desi,1:12 scale die-cast about 20 inches long Hood open, Rubber wheels,6125,55.70,118.50,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_2610,The USS Constitution Ship,1:700,Red Start ,All wood with canvas sails. Measures 31 1/2 inches, sea sprite on bow,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3140,1903 Ford Model A,1:18,Unimax Art,Features opening trunk,  working steering system,3913,68.30,136.59,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_2466,America West Airlines B757-200,1:700,Motor City,Official logos and insignias. Working steering sys,9653,69,99.72,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_3148,1969 Corvair Monza,1:18,Welly Diec,1:18 scale die-cast about 10 inches long doors ope, hood opens,0,6906.00,89.14,151,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_3962,The Queen Mary,1:700,Welly Diec,Exact replica. Wood and Metal. Many extras includi, long boats,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_3891,1969 Ford Falcon,1:12,Second Gea,Turnable front wheels; steering function; detailed,1049,83,173.02,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1129,1993 Mazda RX-7,1:18,Highway 66,This model features, opening hood,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_4620,1961 Chevrolet Impala,1:18,Classic Me,This 1:18 scale precision die-cast reproduction of, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift,0,7869.00,32.33,81,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_2824,1982 Camaro Z28,1:18,Carousel D,Features include opening and closing doors. Color:,6934,47,101.15,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_1099,1968 Ford Mustang,1:12,Autoart St,Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.,68,95.34,194.57,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2795,1928 Mercedes-Benz SSK,1:18,Gearbox Co,This 1:18 replica features grille-mounted chrome h, lift-up louvered hood,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,1:18,Exoto Desi,This 1:18 scale precision die cast replica feature, plus a detailed version of the 142 horsepower straight 8 engine,0,6553.00,43.26,92,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_4675,1969 Dodge Charger,1:12,Welly Diec,Detailed model of the 1969 Dodge Charger. This mod,7323,59,115.16,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2581,P-51-D Mustang,1:72,Gearbox Co,Has retractable wheels and comes with a stand,992,49,84.48,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4933,1957 Ford Thunderbird,1:18,Studio M A,This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish,0,3209.00,34.21,71,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2870,1999 Indy 500 Monte Carlo SS,1:18,Red Start ,Features include opening and closing doors. Color:,8164,57,132.00,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_4002,American Airlines: MD-11S,1:700,Second Gea,Polished finish. Exact replia with official logos ,8820,36,74.03,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2319,1964 Mercedes Tour Bus,1:18,Unimax Art,Exact replica. 100+ parts. working steering system, original logos,8258,74.86,122.73,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_1691,American Airlines: B767-300,1:700,Min Lin Di,Exact replia with official logos and insignias and,5841,51,91.34,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_1444,1970 Dodge Coronet,1:24,Highway 66,1:24 scale die-cast about 18 inches long doors ope, hood opens and rubber wheels,4074,32.37,57.80,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3482,1976 Ford Gran Torino,1:18,Gearbox Co,Highly detailed 1976 Ford 'Gran Torino' Starsky an,9127,73,146.99,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_2047,HMS Bounty,1:700,Unimax Art,Measures 30 inches Long x 27 1/2 inches High x 4 3, long boats,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2766,1949 Jaguar XK 120,1:24,Classic Me,Precision-engineered from original Jaguar specific, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_4258,1936 Chrysler Airflow,1:24,Second Gea,Features opening trunk,  working steering system. Color dark green.,4710,57.46,97.39,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3782,1957 Vespa GS150,1:18,Studio M A,Features rotating wheels, working kick stand. Comes with stand.,7689,32.95,62.17,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_3380,1968 Dodge Charger,1:12,Welly Diec,1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black,9123,75.16,117.44,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2300,1962 Volkswagen Microbus,1:24,Autoart St,This 1:18 scale die cast replica of the 1962 Micro, opening front doors and tailgate,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3420,1937 Horch 930V Limousine,1:24,Autoart St,Features opening hood, opening doors,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_4048,1992 Porsche Cayenne Turbo Silver,1:24,Exoto Desi,This replica features opening doors, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2841,1900s Vintage Bi-Plane,1:24,Autoart St,Hand crafted diecast-like metal bi-plane is re-cre,5942,34,68.51,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3233,1985 Toyota Supra,1:18,Highway 66,This model features soft rubber tires, working steering,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S10_1949,1952 Alpine Renault 1300,1:10,Classic Me,Turnable front wheels; steering function; detailed,7305,99,214.30,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S50_1341,1930 Buick Marquette Phaeton,1:50,Studio M A,Features opening trunk,  working steering system,7062,27.06,43.64,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S10_2016,1996 Moto Guzzi 1100i,1:10,Highway 66,Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_3167,F/A 18 Hornet 1/72,1:72,Motor City,10 inches Wingspan with retractable landing gears.,551,54,80.00,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2957,1934 Ford V8 Coupe,1:18,Min Lin Di,Chrome Trim, Chrome Grille,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3816,1940 Ford Delivery Sedan,1:24,Carousel D,Chrome Trim, Chrome Grille,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,1:32,Red Start ,This model features, opening doors,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3432,2002 Chevy Corvette,1:24,Gearbox Co,The operating parts of this limited edition Diecas, poseable streering,0,9446.00,62.11,107,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3371,1971 Alpine Renault 1600s,1:24,Welly Diec,This 1971 Alpine Renault 1600s replica Features op, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3856,1956 Porsche 356A Coupe,1:18,Classic Me,Features include: Turnable front wheels; steering ,6600,98,140.43,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2360,1982 Ducati 900 Monster,1:24,Highway 66,Features two-tone paint with chrome accents, superior die-cast detail ,0,0.00,6840.00,47,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2248,1911 Ford Town Car,1:18,Motor City,Features opening hood, opening doors,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2949,1913 Ford Model T Speedster,1:18,Carousel D,This 250 part reproduction includes moving handbra, clutch,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2238,1998 Chrysler Plymouth Prowler,1:18,Gearbox Co,Turnable front wheels; steering function; detailed,4724,102,163.73,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S50_4713,2002 Yamaha YZR M1,1:50,Autoart St,Features rotating wheels , working kick stand. Comes with stand.,600,34.17,81.36,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_1046,1970 Chevy Chevelle SS 454,1:24,Unimax Art,This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors,0,0.00,1005.00,49,2021-10-08 09:54:55,2021-10-08 09:54:55
S10_1678,1969 Harley Davidson Ultimate Chopper,1:10,Min Lin Di,This replica features working kickstand, front suspension,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_1938,The Mayflower,1:700,Studio M A,Measures 31 1/2 inches Long x 25 1/2 inches High x, rigging,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2325,1932 Model A Ford J-Coupe,1:18,Autoart St,This model features grille-mounted chrome horn, lift-up louvered hood,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3232,1992 Ferrari 360 Spider red,1:18,Unimax Art,his replica features opening doors, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S72_3212,Pont Yacht,1:72,Unimax Art,Measures 38 inches Long x 33 3/4 inches High. Incl, long boats,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2011,18th century schooner,1:24,Carousel D,All wood with canvas sails. Many extras including , long boats,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1662,1980s Black Hawk Helicopter,1:18,Red Start ,1:18 scale replica of actual Army's UH-60L BLACK H, propeller blades and rubber wheels.,5330,77.27,157.69,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S32_2509,1954 Greyhound Scenicruiser,1:32,Classic Me,Model features bi-level seating, 50 windows,0,0.00,0.00,2874,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_1138,The Schooner Bluenose,1:700,Autoart St,All wood with canvas sails. Measures 31 1/2 inches, 22 inches High and 4 3/4 inches Wide. Many extras.\nThe schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime,0,1897.00,34.00,67,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2840,1958 Chevy Corvette Limited Edition,1:24,Carousel D,The operating parts of this 1958 Chevy Corvette Li, working streering,0,2542.00,15.91,35,2021-10-08 09:54:55,2021-10-08 09:54:55
S32_1374,1997 BMW F650 ST,1:32,Exoto Desi,Features official die-struck logos and baked ename,178,67,99.89,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2887,1952 Citroen-15CV,1:24,Exoto Desi,Precision crafted hand-assembled 1:18 scale reprod, with its independent spring suspension,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S50_1514,1962 City of Detroit Streetcar,1:50,Classic Me,This streetcar is a joy to see. It has 99 separate, electric wire guides,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1097,1940 Ford Pickup Truck,1:18,Studio M A,This model features soft rubber tires, working steering,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4600,1940s Ford truck,1:18,Motor City,This 1940s Ford Pick-Up truck is re-created in 1:1, and features rotating wheels.,3128,84.76,121.08,0,2021-10-08 09:54:55,2021-10-08 09:54:55
