checkNumber,paymentDate,amount,customerNumber,store_id,create_timestamp,update_timestamp
IS946883,2004-09-21,5858.56,198,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
KF480160,2004-12-07,25505.98,424,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
KG644125,2005-02-02,12692.19,161,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
KH910279,2004-09-05,43134.04,286,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
KI131716,2003-08-15,111654.40,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
KI884577,2004-12-14,39964.63,151,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
LA556321,2005-03-15,46781.66,321,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
LF217299,2004-03-26,43369.30,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
LM271923,2003-04-16,21665.98,424,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
MO743231,2004-04-30,1679.92,456,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
MU817160,2003-11-24,52548.49,320,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
NI908214,2003-08-05,38675.13,161,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
NN711988,2004-09-07,63357.13,157,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
NT141748,2003-11-25,45084.38,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
OA595449,2003-10-31,22042.37,424,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
OG208861,2004-09-21,15059.76,362,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
OH367219,2004-11-16,44400.50,181,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
PE176846,2004-11-27,48355.87,462,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
PI42991,2003-04-09,16537.85,129,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
PN238558,2003-12-05,55425.77,363,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
PT550181,2004-02-29,12573.28,487,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
