orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,store_id,create_timestamp,update_timestamp
10257,2004-06-14,2004-06-24,2004-06-15,Shipped,NULL,450,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10264,2004-06-30,2004-07-06,2004-07-01,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10271,2004-07-20,2004-07-29,2004-07-23,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10272,2004-07-20,2004-07-26,2004-07-22,Shipped,NULL,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10274,2004-07-21,2004-07-29,2004-07-22,Shipped,NULL,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10276,2004-08-02,2004-08-11,2004-08-08,Shipped,NULL,204,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10281,2004-08-19,2004-08-28,2004-08-23,Shipped,NULL,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10282,2004-08-20,2004-08-26,2004-08-22,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10283,2004-08-20,2004-08-30,2004-08-23,Shipped,NULL,260,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10285,2004-08-27,2004-09-04,2004-08-31,Shipped,NULL,286,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10290,2004-09-07,2004-09-15,2004-09-13,Shipped,NULL,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10292,2004-09-08,2004-09-18,2004-09-11,Shipped,They want to reevaluate their terms agreement with Finance.,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10294,2004-09-10,2004-09-17,2004-09-14,Shipped,NULL,204,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10295,2004-09-10,2004-09-17,2004-09-14,Shipped,They want to reevaluate their terms agreement with Finance.,362,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10305,2004-10-13,2004-10-22,2004-10-15,Shipped,Check on availability.,286,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10307,2004-10-14,2004-10-23,2004-10-20,Shipped,NULL,339,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10308,2004-10-15,2004-10-24,2004-10-20,Shipped,Customer requested that FedEx Ground is used for this shipping,319,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10312,2004-10-21,2004-10-27,2004-10-23,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10317,2004-11-02,2004-11-12,2004-11-08,Shipped,NULL,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10318,2004-11-02,2004-11-09,2004-11-07,Shipped,NULL,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10321,2004-11-04,2004-11-12,2004-11-07,Shipped,NULL,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10329,2004-11-15,2004-11-24,2004-11-16,Shipped,NULL,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10333,2004-11-18,2004-11-27,2004-11-20,Shipped,NULL,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10335,2004-11-19,2004-11-29,2004-11-23,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10352,2004-12-03,2004-12-12,2004-12-09,Shipped,NULL,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10353,2004-12-04,2004-12-11,2004-12-05,Shipped,NULL,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10357,2004-12-10,2004-12-16,2004-12-14,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10362,2005-01-05,2005-01-16,2005-01-10,Shipped,NULL,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10365,2005-01-07,2005-01-18,2005-01-11,Shipped,NULL,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10368,2005-01-19,2005-01-27,2005-01-24,Shipped,Can we renegotiate this one?,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10369,2005-01-20,2005-01-28,2005-01-24,Shipped,NULL,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10371,2005-01-23,2005-02-03,2005-01-25,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10382,2005-02-17,2005-02-23,2005-02-18,Shipped,Custom shipping instructions sent to warehouse,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10385,2005-02-28,2005-03-09,2005-03-01,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10388,2005-03-03,2005-03-11,2005-03-09,Shipped,NULL,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10390,2005-03-04,2005-03-11,2005-03-07,Shipped,They want to reevaluate their terms agreement with Finance.,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10396,2005-03-23,2005-04-02,2005-03-28,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10400,2005-04-01,2005-04-11,2005-04-04,Shipped,Customer requested that DHL is used for this shipping,450,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10407,2005-04-22,2005-05-04,NULL,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,450,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10414,2005-05-06,2005-05-13,NULL,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,362,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10421,2005-05-29,2005-06-06,NULL,In Process,Custom shipping instructions were sent to warehouse,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10422,2005-05-30,2005-06-11,NULL,In Process,NULL,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
